CUST_ID,GENDER,BALANCE,PURCHASES,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT
1,F,481.990295,359.133487,1000,88.729756,0.373237
2,M,2744.232071,1448.235077,3000,630.535041,0.512857
3,F,410.580936,994.678539,1500,143.784545,0.0
4,F,936.613282,1059.900205,1500,457.980227,0.0
5,M,715.193778,5197.064024,5000,638.071612,0.0
6,F,1405.134903,286.523153,2500,544.287918,0.212221
7,F,680.997704,875.950849,10000,1072.01266,0.302286
8,F,949.747097,1180.852566,2000,332.185977,0.0
9,M,979.931741,462.827398,7000,59.917627,0.13203
10,M,625.812633,921.031346,3000,0.0,0.0
11,M,1875.413564,212.734647,5000,679.968336,0.156553
12,F,1501.995051,3193.636757,4500,748.096499,0.151543
13,F,1119.063495,486.164431,3000,558.016509,0.196575
14,F,822.696615,5587.348633,11000,877.658664,0.0
15,M,2482.172906,871.985773,2300,799.335303,0.0
16,M,980.192696,2264.814665,1700,438.387652,0.0
17,F,919.630943,855.792053,6000,225.463177,0.130965
18,M,1331.712553,873.344899,8000,384.260028,0.0
19,F,5579.910494,530.793788,1000,786.315555,0.0
20,F,362.737493,999.456405,3000,757.793586,0.168342
21,F,2423.265292,1195.355399,9000,713.034947,0.0
22,M,220.554748,443.264803,7000,376.520153,0.0
23,F,1473.721101,802.281887,15000,489.826341,0.0
24,F,5001.907131,518.48496,4000,769.579523,0.0
25,F,1881.456843,7113.130083,5000,1221.267714,0.0
26,M,1413.130268,828.18976,2000,664.044353,0.0
27,M,731.864566,3607.278672,11000,626.926115,0.0
28,M,1246.31002,752.905636,2300,137.301487,0.0
29,M,965.980325,1133.832626,7000,471.302435,0.0
30,F,597.4204,273.355278,2500,308.843956,0.0
31,F,933.659626,600.423156,4000,720.821554,0.0
32,F,1448.875539,1085.158354,7000,601.954219,0.0
33,M,607.592628,3742.104557,4000,789.41739,0.0
34,M,586.60188,1096.396859,9000,653.481271,0.195078
35,M,356.302791,3119.251428,2500,193.940828,0.0
36,M,1722.707609,1598.236638,5000,348.542749,0.0
37,M,1979.878852,3884.156824,2300,634.592134,0.413905
38,M,1492.927744,851.38293,2500,81.606507,0.0
39,M,2888.96459,7717.150276,2500,1688.686628,0.0
40,F,1311.702084,580.066886,1500,404.476924,0.0
41,M,1724.702488,450.421742,1200,405.371073,0.0
42,F,1593.126446,302.158718,6000,0.0,0.0
43,F,1116.120355,7316.755013,5000,1719.654856,0.174993
44,M,751.642156,1877.136611,6000,378.420715,0.505321
45,F,8890.489192,664.670441,1000,2210.501696,0.0
46,F,806.935806,2763.13291,2000,149.514024,0.0
47,M,665.614091,1667.236871,1700,146.528671,0.0
48,M,1791.142281,5268.572459,7500,535.17196,0.0
49,F,1520.309139,222.950651,8000,530.940967,0.0
50,M,342.300021,707.10269,1800,0.0,0.0
51,M,3328.944045,592.132694,6000,522.840011,0.058608
52,M,1113.457015,151.970374,1500,0.0,0.0
53,F,445.930011,2331.563809,2000,589.393825,0.0
54,F,3533.010795,703.904786,1500,924.52643,0.0
55,F,2128.36214,1747.022317,2000,1080.756336,0.0
56,F,388.352024,7508.528155,6000,982.87502,0.290278
57,M,5999.698856,653.3289,9000,1370.550105,0.0
58,F,2192.762912,614.594263,1700,186.074365,0.133458
59,M,1200.896327,999.042932,4000,354.510064,0.179018
60,M,5070.511226,2183.146836,6000,1216.250384,0.245526
61,F,1398.797203,539.130835,11000,625.091686,0.0
62,M,1181.718758,508.840477,5000,615.525685,0.0
63,F,668.963765,2324.988434,1800,713.976968,0.43578
64,F,2046.047977,1262.406869,5000,418.140975,0.095851
65,F,1861.136628,142.557377,2000,636.728454,0.0
66,F,1228.085984,298.016061,12000,493.714034,0.070218
67,F,595.268332,3467.233447,2500,485.817089,0.0
68,M,1362.30973,1289.146248,6000,327.785429,0.0
69,M,1138.174672,452.154376,1000,145.947037,0.206689
70,M,364.991152,770.185433,2500,637.449121,0.0
71,M,322.263291,908.607316,9000,401.392962,0.0
72,M,2015.531157,1740.904395,5000,761.841509,0.262153
73,F,116.547687,264.426398,2500,65.983468,0.311871
74,M,1458.070805,421.216004,10000,1275.948029,0.392122
75,M,788.179021,1147.866383,8000,745.868812,0.0
76,M,3934.039133,820.692813,2000,692.722048,0.348638
77,M,777.340604,1502.1809,4000,321.779253,0.0
78,F,2194.118813,296.91424,3000,429.509959,0.0
79,F,847.912582,1238.202251,5000,425.176529,0.0
80,F,1342.613462,2398.083744,2000,397.227922,0.089933
81,F,2352.30947,1391.498764,1800,742.282623,0.131888
82,M,799.270835,1017.598345,10000,815.534578,0.025627
83,F,2971.729531,823.616293,10000,480.338244,0.0
84,M,495.551811,423.534071,8000,0.0,0.0
85,M,1579.926425,841.512836,12000,474.578658,0.0
86,M,2780.471372,2789.828121,7000,848.565331,0.0
87,F,2195.211646,806.637477,7000,1114.051062,0.0
88,M,6800.833037,403.09667,7000,1645.448852,0.0
89,M,609.661945,576.501315,3000,481.860851,0.106377
90,M,350.291503,1075.741282,3000,206.48664,0.206938
91,M,495.267689,641.518102,1800,146.541681,0.252959
92,F,2196.012094,1389.602418,5000,286.608114,0.0
93,M,1897.19288,1437.354262,2000,744.412287,0.0
94,M,1328.79925,1998.365474,1800,633.251373,0.0
95,M,441.129576,3233.122039,4500,867.62731,0.0
96,F,2416.753922,2200.132472,2500,690.074174,0.0
97,M,402.528419,387.29429,1800,114.985644,0.0
98,M,3439.407937,398.14609,7500,840.632342,0.0
99,M,15862.206052,838.660244,8000,3318.810712,0.0
100,F,1685.480612,598.210189,1700,37.367827,0.0
101,F,2048.365265,322.307464,1000,608.896677,0.0
102,F,777.766389,603.337888,2000,242.274606,0.0
103,M,237.652141,585.776525,7500,0.0,0.0
104,F,704.54526,490.456718,8000,0.0,0.0
105,F,453.227534,675.727212,1500,154.799794,0.0
106,F,329.539387,2593.090704,7000,854.91622,0.0
